city,timestamp,temperature,season
New York,2010-01-01,-4.564093354456341,winter
New York,2010-01-02,-2.2882005816079007,winter
New York,2010-01-03,-2.3439513531556297,winter
New York,2010-01-04,-6.977572745208565,winter
New York,2010-01-05,-4.724416659073173,winter
New York,2010-01-06,2.5595958353359114,winter
New York,2010-01-07,-8.402018418011998,winter
New York,2010-01-08,1.663772507383166,winter
New York,2010-01-09,8.469663437951615,winter
New York,2010-01-10,2.1131901942480886,winter
New York,2010-01-11,-3.7362598165193877,winter
New York,2010-01-12,-10.203146763698182,winter
New York,2010-01-13,-3.907037604093323,winter
New York,2010-01-14,-0.2991002039084951,winter
New York,2010-01-15,-2.538929111172746,winter
New York,2010-01-16,1.1789593918535168,winter
New York,2010-01-17,2.3561874310273763,winter
New York,2010-01-18,0.2635476257921502,winter
New York,2010-01-19,-3.6649545316625556,winter
New York,2010-01-20,1.8701633631181067,winter
New York,2010-01-21,3.3089799632891763,winter
New York,2010-01-22,2.48951430858178,winter
New York,2010-01-23,3.52086199951266,winter
New York,2010-01-24,-7.430633339954175,winter
New York,2010-01-25,-0.7119482829172479,winter
New York,2010-01-26,-3.84772358541292,winter
New York,2010-01-27,3.7529852459389486,winter
New York,2010-01-28,1.0739691713218908,winter
New York,2010-01-29,5.4212736880742245,winter
New York,2010-01-30,1.389189312763198,winter
New York,2010-01-31,-7.407766774142638,winter
New York,2010-02-01,0.18609306235045822,winter
New York,2010-02-02,1.1610330964606648,winter
New York,2010-02-03,-3.5643900347815514,winter
New York,2010-02-04,2.516189846533374,winter
New York,2010-02-05,-3.4448752929211905,winter
New York,2010-02-06,-5.6865680273182715,winter
New York,2010-02-07,3.1878051461376944,winter
New York,2010-02-08,-1.2610309064885727,winter
New York,2010-02-09,1.3355767048265343,winter
New York,2010-02-10,-5.361236814819803,winter
New York,2010-02-11,2.6016201430371337,winter
New York,2010-02-12,9.724618319620756,winter
New York,2010-02-13,1.6157960795434854,winter
New York,2010-02-14,-2.388550670820059,winter
New York,2010-02-15,10.34482644005773,winter
New York,2010-02-16,2.0349132890987525,winter
New York,2010-02-17,3.7633203446707904,winter
New York,2010-02-18,-8.267541573527765,winter
New York,2010-02-19,7.628738768395938,winter
New York,2010-02-20,-3.083096668701394,winter
New York,2010-02-21,2.8723232983537845,winter
New York,2010-02-22,-2.769689157669808,winter
New York,2010-02-23,-0.4945591844699964,winter
New York,2010-02-24,3.9969134582928403,winter
New York,2010-02-25,-10.387632275140549,winter
New York,2010-02-26,-4.985071551815697,winter
New York,2010-02-27,2.219080319371272,winter
New York,2010-02-28,-3.708184408327355,winter
New York,2010-03-01,12.240377956376122,spring
New York,2010-03-02,16.33269035829909,spring
New York,2010-03-03,12.627498766648099,spring
New York,2010-03-04,14.864505793984552,spring
New York,2010-03-05,0.5978851846137967,spring
New York,2010-03-06,13.132109771921161,spring
New York,2010-03-07,9.795817114945779,spring
New York,2010-03-08,11.931992849942791,spring
New York,2010-03-09,10.340521574087106,spring
New York,2010-03-10,5.10924680414969,spring
New York,2010-03-11,12.38197753501604,spring
New York,2010-03-12,11.638485982896638,spring
New York,2010-03-13,13.358227860475889,spring
New York,2010-03-14,20.176762732847127,spring
New York,2010-03-15,16.263007767952352,spring
New York,2010-03-16,9.158509291463751,spring
New York,2010-03-17,6.241501653973533,spring
New York,2010-03-18,12.126353026579462,spring
